A,LINZ,11,KATHOLISCHE PRIVAT - UNIVERSITAT LINZ,48.3037554,14.291472397456499,Linz,BETHLEHEMSTRASSE  20,4020,www.ku-linz.at
A,LINZ,17,ANTON BRUCKNER PRIVATUNIVERSITAT,48.3114923,14.2669162,Linz,HAGENSTRASSE 57,4040,www.bruckneruni.at
A,LINZ,23,FH Gesundheitsberufe OÖ GmbH,48.3020754,14.3113442,Linz,Semmelweisstrasse 34/D3,4020,www.fh-gesundheitsberufe.at
A,SALZBUR,01,PARIS-LODRON-UNIVERSITAT SALZBURG,47.797127200000006,13.048253589923362,Salzburg,KAPITELGASSE 4-6,5020,https://www.plus.ac.at/
A,SALZBUR,02,UNIVERSITAT MOZARTEUM SALZBURG,47.803820200000004,13.043645459454247,Salzburg,MIRABELLPLATZ 1,5020,www.uni-mozarteum.at
A,SALZBUR,03,Pädagogische Hochschule Salzburg Stefan Zweig,47.791567349999994,13.055959642479472,Salzburg,Akademiestrasse 23,5020,www.phsalzburg.at
A,SALZBUR,08,FACHHOCHSCHULE SALZBURG GMBH,47.72360745,13.086718915696402,Puch Bei Hallein,URSTEIN SUED 1,5412,www.fh-salzburg.ac.at
A,SALZBUR,18,PRIVATUNIVERSITAT SCHLOSS SEEBURG GMBH,47.903103200000004,13.136373528239693,Seekirchen Am Wallersee,SEEBURGSTRASSE 8,5201,www.uni-seeburg.at
A,SALZBUR,19,PARACELSUS MEDIZINISCHE PRIVATUNIVERSITAT SALZBURG - PRIVATSTIFTUNG,47.8089233,13.0312506,Salzburg,STRUBERGASSE 21,5020,www.pmu.ac.at
A,SPITTAL,01,FH KARNTEN - GEMEINNUETZIGE GmbH,46.6111188,13.8828985,Villach,EUROPASTRASSE 4,9524,www.fh-kaernten.at
A,ST-POLT,03,FACHHOCHSCHULE ST. POLTEN GMBH,48.2137841,15.631593,St Polten,CAMPUS-PLATZ 1,3100,www.fhstp.ac.at
A,ST-POLT,10,NEW DESIGN UNIVERSITY PRIVATUNIVERSITAT GESMBH,48.18744465,15.619565350466845,St Polten,MARIAZELLER STRASSE 97A,3100,www.ndu.ac.at
A,ST-POLT,11,Bertha von Suttner Privatuniversität St. Pölten GmbH,48.2137841,15.631593,St. Pölten,Campus-Platz 1,3100,https://www.suttneruni.at/
A,WELS,01,FH OO STUDIENBETRIEBS GMBH,48.1610789,14.026458735994165,Wels,ROSEGGERSTRASSE 15,4600,www.fh-ooe.at
